Символ,p,Код
" ",0.16285539,110
"о",0.09051687,000
"е",0.06343593,1001
"а",0.061081666,1000
"и",0.05308765,0101
"н",0.053058006,0100
"т",0.04518781,11111
"л",0.04323116,11110
"с",0.042458612,11101
"р",0.038050048,10111
"в",0.032865446,10101
"м",0.027802918,01101
"д",0.026543826,00111
"к",0.023961117,00110
"у",0.023157183,00101
"п",0.022255588,00100
",",0.019814136,111001
"г",0.01692799,101101
"ь",0.0166106,101100
"я",0.016110102,101000
"ы",0.015947921,011111
".",0.014352256,011101
"з",0.013755844,011001
"б",0.013281505,011000
"ч",0.00980069,1110001
"х",0.008693317,1010011
"й",0.0077673085,1010010
"-",0.0074743344,0111101
"ж",0.0072842496,0111100
"ш",0.0070523117,0111001
"э",0.003869703,11100000
"ю",0.0034633756,01110001
"щ",0.0026350254,111000011
"ф",0.0023350755,111000010
"ц",0.0016758832,011100001
":",6.48729E-4,0111000000
"ё",5.4758304E-4,01110000011
";",1.8136509E-4,011100000100
"ъ",9.9402016E-5,0111000001010
"1",2.790232E-5,011100000101110
"3",1.395116E-5,0111000001011011
"2",1.2207265E-5,01110000010111111
"(",1.2207265E-5,01110000010111110
"0",1.2207265E-5,0111000001011000
"7",8.719475E-6,01110000010111101
"4",6.97558E-6,01110000010111100
"8",6.97558E-6,01110000010110101
"9",6.97558E-6,01110000010110100
"5",6.97558E-6,01110000010110011
"6",6.97558E-6,01110000010110010
