,Неопределённость,Разрядность кода,Абсолютная избыточность,Относительная избыточность
При кодировании сообщения стандартной кодовой таблицей ASCII,7 бит,8 бит,2.4919734,0.3559962
"При использовании равномерного кода, построенного на основе меры Хартли",5.643856 бит,6 бит,1.1358294,0.20125061
